2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3404 'Populate 'uuid' and 'createdAt columns for notifications': success | time=39ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3405 'Make 'uuid' and 'createdAt' column not nullable for notifications'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3405 'Make 'uuid' and 'createdAt' column not nullable for notifications': success | time=17ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3406 'Drop primary key on 'ID' column of 'NOTIFICATIONS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3406 'Drop primary key on 'ID' column of 'NOTIFICATIONS' table': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3407 'Add primary key on 'UUID' column of 'NOTIFICATIONS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3407 'Add primary key on 'UUID' column of 'NOTIFICATIONS' table': success | time=2ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3408 'Drop column 'ID' of 'NOTIFICATIONS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3408 'Drop column 'ID' of 'NOTIFICATIONS' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3409 'Drop primary key on 'ID' column of 'SNAPSHOTS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3409 'Drop primary key on 'ID' column of 'SNAPSHOTS' table': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3410 'Add primary key on 'UUID' column of 'SNAPSHOTS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3410 'Add primary key on 'UUID' column of 'SNAPSHOTS' table': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3411 'Drop column 'ID' of 'SNAPSHOTS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3411 'Drop column 'ID' of 'SNAPSHOTS' table': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3412 'Drop unique index on 'uuid' column of 'CE_QUEUE' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3412 'Drop unique index on 'uuid' column of 'CE_QUEUE' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3413 'Drop primary key on 'ID' column of 'CE_QUEUE' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3413 'Drop primary key on 'ID' column of 'CE_QUEUE' table': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3414 'Add primary key on 'UUID' column of 'CE_QUEUE' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3414 'Add primary key on 'UUID' column of 'CE_QUEUE' table': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3415 'Drop column 'ID' of 'CE_QUEUE' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3415 'Drop column 'ID' of 'CE_QUEUE' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3416 'Drop primary key on 'ID' column of 'CE_ACTIVITY' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3416 'Drop primary key on 'ID' column of 'CE_ACTIVITY' table': success | time=9ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3417 'Add primary key on 'UUID' column of 'CE_ACTIVITY' table'...
